Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
-0.5267,Mon Jul 30 13:14:44 +0000 2018,0.746,0.254,0,Hundreds of tourists trapped on Indonesia volcano after earthquake https://t.co/v3mq1WEtJ6 https://t.co/aRy9wSIjW5,58,@CBSNews
0.5766,Mon Jul 30 13:00:21 +0000 2018,0.809,0,0.191,DREAM DRESS: A father worked three jobs to buy his daughter her dream dress dress for the 8th grade dance. His surpâ€_ https://t.co/FGqe626d96,59,@CBSNews
-0.4019,Mon Jul 30 12:39:34 +0000 2018,0.828,0.172,0,Nearly $1 million medical bill for Utah inmate highlights problem for jails https://t.co/pTWuz08caE https://t.co/gNBjzqkP2i,60,@CBSNews
0,Mon Jul 30 12:19:32 +0000 2018,1,0,0,"Sea mammal on brink of extinction targeted by ""mafias"" in Baja, Mexico https://t.co/OOzCSJnDp5 https://t.co/mE7tzp1835",61,@CBSNews
0.6124,Mon Jul 30 11:59:55 +0000 2018,0.808,0,0.192,"""I was talking to my little grandson on the phone, he was saying, 'Grandpa, please, you gotta come and help us, theâ€_ https://t.co/m62WdiOhAm",62,@CBSNews
-0.7506,Mon Jul 30 11:40:22 +0000 2018,0.701,0.299,0,Authorities have released dramatic body camera footage from a frantic foot chase and fatal shooting of 31-year-oldâ€_ https://t.co/r4OQg0OhIL,63,@CBSNews
0,Mon Jul 30 11:20:01 +0000 2018,1,0,0,Probe into Flight 370 mystery highlights shortcomings https://t.co/iT8MCvRkNH https://t.co/gwm5vGDosK,64,@CBSNews
-0.7579,Mon Jul 30 10:59:41 +0000 2018,0.723,0.277,0,California wildfires: Firefighter struck by a tree and killed while working as part of a crew removing brush and otâ€_ https://t.co/RMb7t0YUsc,65,@CBSNews
-0.6705,Mon Jul 30 10:47:50 +0000 2018,0.809,0.191,0,"The #CarrFire has burned nearly 150 square miles and has killed six people, including three members of one family.â€_ https://t.co/m0BKdySgab",66,@CBSNews
-0.4215,Mon Jul 30 10:39:56 +0000 2018,0.625,0.234,0.141,13 killed as van carrying wedding party in Vietnam slams into truck https://t.co/D0mbfMhB2O https://t.co/R1HHgJACgS,67,@CBSNews
0,Mon Jul 30 10:34:58 +0000 2018,1,0,0,"Ahead on @CBSThisMorning, Trayvon Martin's father joins us in Studio 57 along with filmmakers Jenner Furst and Juliâ€_ https://t.co/JJ3ztWfvEc",68,@CBSNews
-0.5423,Mon Jul 30 10:19:31 +0000 2018,0.774,0.226,0,Minneapolis police release bodycam videos in fatal shooting of black man https://t.co/3rGitPEyta https://t.co/mS5QuLVtYz,69,@CBSNews
-0.5719,Mon Jul 30 10:03:03 +0000 2018,0.702,0.228,0.07,Egyptian court sentences 75 to death for their involvement in a 2013 sit-in https://t.co/76t4l7zLEp https://t.co/Giio7vSoOJ,70,@CBSNews
0,Mon Jul 30 09:56:05 +0000 2018,1,0,0,"For 1st time in almost 40 years, a Zimbabwe election without Mugabe https://t.co/Lig15JcAiL https://t.co/KoL8lzJ5Js",71,@CBSNews
0,Mon Jul 30 09:48:04 +0000 2018,1,0,0,Animal influencers: How pets earn big bucks as Instagram stars https://t.co/CziQmwnq9S https://t.co/d7YevfHT7L,72,@CBSNews
-0.296,Mon Jul 30 09:33:04 +0000 2018,0.845,0.155,0,New details emerge in case of missing University of Iowa student https://t.co/O4fojPX8KJ https://t.co/DGjVhioHVE,73,@CBSNews
-0.4404,Mon Jul 30 09:18:03 +0000 2018,0.818,0.182,0,Trump backers stand by president in face of Russia criticism â€” CBS poll https://t.co/Aw6T8ukiye https://t.co/bcFFiSTytH,74,@CBSNews
0,Mon Jul 30 09:03:03 +0000 2018,1,0,0,The Dish: Chef Edouardo Jordan brings the South to Seattle https://t.co/kcN5QV6ett https://t.co/4GdNlexGlo,75,@CBSNews
